arabic,german,root,frequency_rank,transliteration,masdar,masdar_transliteration,masdar_german
مُتَحَرِّكٌ,beweglich,ح-ر-ك,1301,mutaḥarrik,,,
ثَابِتٌ,fest / beständig,ث-ب-ت,1302,ṯābit,,,
اِحْتِيَاطِيّ,Reserve / Not- (Adj.),ح-و-ط,1303,iḥtiyāṭiyy,,,
وَفِيرٌ,reichlich,و-ف-ر,1304,wafīr,,,
نَادِرٌ,selten,ن-د-ر,1305,nādir,,,
دَائِمٌ,ständig / dauerhaft,د-و-م,1306,dāʾim,,,
غَالِبًا,meistens,غ-ل-ب,1307,ġāliban,,,
أَخِيرًا,schließlich / zuletzt,أ-خ-ر,1308,ʾaḫīran,,,
تَقْرِيبًا,ungefähr,ق-ر-ب,1309,taqrīban,,,
فَوْرًا,sofort,ف-و-ر,1310,fawran,,,
مُطْلَقًا,absolut / überhaupt,ط-ل-ق,1311,muṭlaqan,,,
نِسْبِيًّا,relativ,ن-س-ب,1312,nisbiyyan,,,
لِذَلِكَ,deshalb,ذ-ل-ك,1313,li-ḏālika,,,
عِنْدَمَا,als / wenn (Konj.),ع-ن-د,1314,ʿindamā,,,
دُونَ,ohne,د-و-ن,1315,dūna,,,
أَبْدَى,äußern,ب-د-و,1316,ʾabdā,إِبْدَاءٌ,ʾibdāʾ,das Äußern
أَبْطَلَ,aufheben,ب-ط-ل,1317,ʾabṭala,إِبْطَالٌ,ʾibṭāl,das Aufheben
أَخْفَى,verbergen,خ-ف-ي,1318,ʾaḫfā,إِخْفَاءٌ,ʾiḫfāʾ,das Verbergen
أَذَاعَ,ausstrahlen,ذ-ي-ع,1319,ʾaḏāʿa,إِذَاعَةٌ,ʾiḏāʿa,die Ausstrahlung
أَصْدَرَ,herausgeben,ص-د-ر,1320,ʾaṣdara,إِصْدَارٌ,ʾiṣdār,die Herausgabe
أَضَاءَ,beleuchten,ض-و-أ,1321,ʾaḍāʾa,إِضَاءَةٌ,ʾiḍāʾa,die Beleuchtung
أَعَادَ,zurückgeben,ع-و-د,1322,ʾaʿāda,إِعَادَةٌ,ʾiʿāda,die Rückgabe/die Wiederholung
أَقْبَلَ,sich nähern,ق-ب-ل,1323,ʾaqbala,إِقْبَالٌ,ʾiqbāl,das Herankommen
أَكَّدَ,bestätigen,أ-ك-د,1324,ʾakkada,تَأْكِيدٌ,taʾkīd,die Bestätigung
أَلْغَى,absagen,ل-غ-ي,1325,ʾalġā,إِلْغَاءٌ,ʾilġāʾ,die Absage
أَنْشَأَ,gründen,ن-ش-أ,1326,ʾanšaʾa,إِنْشَاءٌ,ʾinšāʾ,die Gründung
أَهْدَى,schenken,ه-د-ي,1327,ʾahdā,إِهْدَاءٌ,ʾihdāʾ,das Schenken
أَوْقَفَ,anhalten,و-ق-ف,1328,ʾawqafa,إِيقَافٌ,ʾīqāf,das Anhalten
اِتَّبَعَ,folgen,ت-ب-ع,1329,ittabaʿa,اِتِّبَاعٌ,ittibāʿ,das Befolgen/das Nachfolgen
اِتَّهَمَ,beschuldigen,و-ه-م,1330,ittahama,اِتِّهَامٌ,ittihām,die Beschuldigung
اِجْتَهَدَ,sich anstrengen,ج-ه-د,1331,iǧtahada,اِجْتِهَادٌ,iǧtihād,die Anstrengung/der Fleiß
اِخْتَرَعَ,erfinden,خ-ر-ع,1332,iḫtaraʿa,اِخْتِرَاعٌ,iḫtirāʿ,die Erfindung
اِخْتَصَرَ,kürzen,خ-ص-ر,1333,iḫtaṣara,اِخْتِصَارٌ,iḫtiṣār,die Kürzung
اِخْتَلَطَ,sich vermischen,خ-ل-ط,1334,iḫtalaṭa,اِخْتِلَاطٌ,iḫtilāṭ,die Vermischung
اِدَّخَرَ,sparen / zurücklegen,د-خ-ر,1335,iddaḫara,اِدِّخَارٌ,iddiḫār,das Sparen/das Zurücklegen
اِرْتَبَطَ,verbunden sein,ر-ب-ط,1336,irtabaṭa,اِرْتِبَاطٌ,irtibāṭ,die Verbindung
اِرْتَكَبَ,begehen (Fehler),ر-ك-ب,1337,irtakaba,اِرْتِكَابٌ,irtikāb,die Begehung
اِسْتَبْدَلَ,ersetzen,ب-د-ل,1338,istabdala,اِسْتِبْدَالٌ,istibdāl,der Ersatz/der Tausch
اِسْتَثْنَى,ausnehmen,ث-ن-ي,1339,istaṯnā,اِسْتِثْنَاءٌ,istiṯnāʾ,die Ausnahme
اِسْتَسْلَمَ,sich ergeben,س-ل-م,1340,istaslama,اِسْتِسْلَامٌ,istislām,die Kapitulation/das Sich-Ergeben
اِسْتَعَدَّ,sich vorbereiten,ع-د-د,1341,istaʿadda,اِسْتِعْدَادٌ,istiʿdād,die Vorbereitung/die Bereitschaft
اِسْتَوْرَدَ,importieren,و-ر-د,1342,istawrada,اِسْتِيرَادٌ,istīrād,der Import
اِقْتَرَضَ,borgen,ق-ر-ض,1343,iqṭaraḍa,اِقْتِرَاضٌ,iqṭirāḍ,das Borgen
اِلْتَفَتَ,sich umwenden,ل-ف-ت,1344,iltafata,اِلْتِفَاتٌ,iltifāt,die Hinwendung/die Aufmerksamkeit
اِمْتَدَحَ,loben,م-د-ح,1345,imtadaḥa,اِمْتِدَاحٌ,imtidāḥ,das Loben
اِنْسَحَبَ,sich zurückziehen,س-ح-ب,1346,insaḥaba,اِنْسِحَابٌ,insiḥāb,der Rückzug
اِنْعَطَفَ,abbiegen,ع-ط-ف,1347,inʿaṭafa,اِنْعِطَافٌ,inʿiṭāf,die Abbiegung
اِنْعَكَسَ,sich spiegeln,ع-ك-س,1348,inʿakasa,اِنْعِكَاسٌ,inʿikās,die Spiegelung/die Umkehr
اِنْفَصَلَ,sich trennen,ف-ص-ل,1349,infaṣala,اِنْفِصَالٌ,infiṣāl,die Trennung
اِهْتَزَّ,vibrieren,ه-ز-ز,1350,ihtazza,اِهْتِزَازٌ,ihtizāz,die Vibration/das Beben
بَارَكَ,beglückwünschen / segnen,ب-ر-ك,1351,bāraka,مُبَارَكَةٌ,mubāraka,der Segen/die Gratulation
تَأَلَّمَ,Schmerzen leiden,أ-ل-م,1352,taʾallama,تَأَلُّمٌ,taʾallum,das Schmerzleiden
تَابَعَ,verfolgen / fortsetzen,ت-ب-ع,1353,tābaʿa,مُتَابَعَةٌ,mutābaʿa,die Weiterverfolgung
تَبَادَلَ,austauschen,ب-د-ل,1354,tabādala,تَبَادُلٌ,tabādul,der Austausch
تَحَدَّى,herausfordern,ح-د-ي,1355,taḥaddā,تَحَدٍّ,taḥaddin,die Herausforderung
تَحَكَّمَ,kontrollieren,ح-ك-م,1356,taḥakkama,تَحَكُّمٌ,taḥakkum,die Kontrolle/die Beherrschung
تَخَلَّفَ,zurückbleiben,خ-ل-ف,1357,taḫallafa,تَخَلُّفٌ,taḫalluf,das Zurückbleiben
تَذَوَّقَ,kosten (Essen),ذ-و-ق,1358,taḏawwaqa,تَذَوُّقٌ,taḏawwuq,das Kosten (Essen)
تَعَافَى,genesen,ع-ف-و,1359,taʿāfā,تَعَافٍ,taʿāfin,das Genesen
تَعَامَلَ,umgehen mit,ع-م-ل,1360,taʿāmala,تَعَامُلٌ,taʿāmul,der Umgang
تَعَوَّدَ,sich gewöhnen,ع-و-د,1361,taʿawwada,تَعَوُّدٌ,taʿawwud,die Gewöhnung
تَمَنَّى,sich wünschen,م-ن-ي,1362,tamannā,تَمَنٍّ,tamannin,der Wunsch
تَنَافَسَ,konkurrieren,ن-ف-س,1363,tanāfasa,تَنَافُسٌ,tanāfus,der Wettbewerb
تَنَاوَلَ,behandeln / sich nehmen,ن-و-ل,1364,tanāwala,تَنَاوُلٌ,tanāwul,die Behandlung
تَهَيَّأَ,sich fertigmachen,ه-ي-أ,1365,tahayyaʾa,تَهَيُّؤٌ,tahayyuʾ,die Vorbereitung
تَوَافَقَ,zusammenpassen,و-ف-ق,1366,tawāfaqa,تَوَافُقٌ,tawāfuq,die Übereinstimmung
تَوَجَّهَ,sich begeben / ansteuern,و-ج-ه,1367,tawaǧǧaha,تَوَجُّهٌ,tawaǧǧuh,die Richtung/das Ansteuern
تَوَلَّى,übernehmen,و-ل-ي,1368,tawallā,تَوَلٍّ,tawallin,die Übernahme
حَدَّدَ,festlegen / bestimmen,ح-د-د,1369,ḥaddada,تَحْدِيدٌ,taḥdīd,die Festlegung
حَرَّرَ,verfassen / befreien,ح-ر-ر,1370,ḥarrara,تَحْرِيرٌ,taḥrīr,das Verfassen/die Befreiung
حَقَّقَ,erreichen / verwirklichen,ح-ق-ق,1371,ḥaqqaqa,تَحْقِيقٌ,taḥqīq,die Verwirklichung/die Erreichung
خَدَعَ,betrügen,خ-د-ع,1372,ḫadaʿa,خِدَاعٌ,ḫidāʿ,der Betrug
دَارَ,sich drehen,د-و-ر,1373,dāra,دَوَرَانٌ,dawarān,das Drehen
ذَابَ,schmelzen,ذ-و-ب,1374,ḏāba,ذَوَبَانٌ,ḏawabān,das Schmelzen
ذَمَّ,tadeln,ذ-م-م,1375,ḏamma,ذَمٌّ,ḏamm,der Tadel
رَاجَعَ,überprüfen,ر-ج-ع,1376,rāǧaʿa,مُرَاجَعَةٌ,murāǧaʿa,die Überprüfung
سَجَّلَ,aufnehmen / registrieren,س-ج-ل,1377,saǧǧala,تَسْجِيلٌ,tasǧīl,die Aufnahme/die Registrierung
سَلَبَ,rauben,س-ل-ب,1378,salaba,سَلْبٌ,salb,der Raub
شَجَّعَ,ermutigen,ش-ج-ع,1379,šaǧǧaʿa,تَشْجِيعٌ,tašǧīʿ,die Ermutigung
طَوَى,falten,ط-و-ي,1380,ṭawā,طَيٌّ,ṭayy,das Falten
عَاقَبَ,bestrafen,ع-ق-ب,1381,ʿāqaba,عِقَابٌ,ʿiqāb,die Bestrafung
عَزَلَ,entlassen,ع-ز-ل,1382,ʿazala,عَزْلٌ,ʿazl,die Entlassung
عَوَّضَ,entschädigen,ع-و-ض,1383,ʿawwaḍa,تَعْوِيضٌ,taʿwīḍ,die Entschädigung
فَسَّرَ,erklären / deuten,ف-س-ر,1384,fassara,تَفْسِيرٌ,tafsīr,die Erklärung/die Deutung
