rank	masdar	masdar_transliteration	masdar_german
1316	إِبْدَاءٌ	ʾibdāʾ	das Äußern
1317	إِبْطَالٌ	ʾibṭāl	das Aufheben
1318	إِخْفَاءٌ	ʾiḫfāʾ	das Verbergen
1319	إِذَاعَةٌ	ʾiḏāʿa	die Ausstrahlung
1320	إِصْدَارٌ	ʾiṣdār	die Herausgabe
1321	إِضَاءَةٌ	ʾiḍāʾa	die Beleuchtung
1322	إِعَادَةٌ	ʾiʿāda	die Rückgabe/die Wiederholung
1323	إِقْبَالٌ	ʾiqbāl	das Herankommen
1324	تَأْكِيدٌ	taʾkīd	die Bestätigung
1325	إِلْغَاءٌ	ʾilġāʾ	die Absage
1326	إِنْشَاءٌ	ʾinšāʾ	die Gründung
1327	إِهْدَاءٌ	ʾihdāʾ	das Schenken
1328	إِيقَافٌ	ʾīqāf	das Anhalten
1329	اِتِّبَاعٌ	ittibāʿ	das Befolgen/das Nachfolgen
1330	اِتِّهَامٌ	ittihām	die Beschuldigung
1331	اِجْتِهَادٌ	iǧtihād	die Anstrengung/der Fleiß
1332	اِخْتِرَاعٌ	iḫtirāʿ	die Erfindung
1333	اِخْتِصَارٌ	iḫtiṣār	die Kürzung
1334	اِخْتِلَاطٌ	iḫtilāṭ	die Vermischung
1335	اِدِّخَارٌ	iddiḫār	das Sparen/das Zurücklegen
1336	اِرْتِبَاطٌ	irtibāṭ	die Verbindung
1337	اِرْتِكَابٌ	irtikāb	die Begehung
1338	اِسْتِبْدَالٌ	istibdāl	der Ersatz/der Tausch
1339	اِسْتِثْنَاءٌ	istiṯnāʾ	die Ausnahme
1340	اِسْتِسْلَامٌ	istislām	die Kapitulation/das Sich-Ergeben
1341	اِسْتِعْدَادٌ	istiʿdād	die Vorbereitung/die Bereitschaft
1342	اِسْتِيرَادٌ	istīrād	der Import
1343	اِقْتِرَاضٌ	iqṭirāḍ	das Borgen
1344	اِلْتِفَاتٌ	iltifāt	die Hinwendung/die Aufmerksamkeit
1345	اِمْتِدَاحٌ	imtidāḥ	das Loben
1346	اِنْسِحَابٌ	insiḥāb	der Rückzug
1347	اِنْعِطَافٌ	inʿiṭāf	die Abbiegung
1348	اِنْعِكَاسٌ	inʿikās	die Spiegelung/die Umkehr
1349	اِنْفِصَالٌ	infiṣāl	die Trennung
1350	اِهْتِزَازٌ	ihtizāz	die Vibration/das Beben
1351	مُبَارَكَةٌ	mubāraka	der Segen/die Gratulation
1352	تَأَلُّمٌ	taʾallum	das Schmerzleiden
1353	مُتَابَعَةٌ	mutābaʿa	die Weiterverfolgung
1354	تَبَادُلٌ	tabādul	der Austausch
1355	تَحَدٍّ	taḥaddin	die Herausforderung
1356	تَحَكُّمٌ	taḥakkum	die Kontrolle/die Beherrschung
1357	تَخَلُّفٌ	taḫalluf	das Zurückbleiben
1358	تَذَوُّقٌ	taḏawwuq	das Kosten (Essen)
1359	تَعَافٍ	taʿāfin	das Genesen
1360	تَعَامُلٌ	taʿāmul	der Umgang
1361	تَعَوُّدٌ	taʿawwud	die Gewöhnung
1362	تَمَنٍّ	tamannin	der Wunsch
1363	تَنَافُسٌ	tanāfus	der Wettbewerb
1364	تَنَاوُلٌ	tanāwul	die Behandlung
1365	تَهَيُّؤٌ	tahayyuʾ	die Vorbereitung
1366	تَوَافُقٌ	tawāfuq	die Übereinstimmung
1367	تَوَجُّهٌ	tawaǧǧuh	die Richtung/das Ansteuern
1368	تَوَلٍّ	tawallin	die Übernahme
1369	تَحْدِيدٌ	taḥdīd	die Festlegung
1370	تَحْرِيرٌ	taḥrīr	das Verfassen/die Befreiung
1371	تَحْقِيقٌ	taḥqīq	die Verwirklichung/die Erreichung
1372	خِدَاعٌ	ḫidāʿ	der Betrug
1373	دَوَرَانٌ	dawarān	das Drehen
1374	ذَوَبَانٌ	ḏawabān	das Schmelzen
1375	ذَمٌّ	ḏamm	der Tadel
1376	مُرَاجَعَةٌ	murāǧaʿa	die Überprüfung
1377	تَسْجِيلٌ	tasǧīl	die Aufnahme/die Registrierung
1378	سَلْبٌ	salb	der Raub
1379	تَشْجِيعٌ	tašǧīʿ	die Ermutigung
1380	طَيٌّ	ṭayy	das Falten
1381	عِقَابٌ	ʿiqāb	die Bestrafung
1382	عَزْلٌ	ʿazl	die Entlassung
1383	تَعْوِيضٌ	taʿwīḍ	die Entschädigung
1384	تَفْسِيرٌ	tafsīr	die Erklärung/die Deutung
1385	فَكٌّ	fakk	das Lösen/das Aufmachen
1386	مُقَارَنَةٌ	muqārana	der Vergleich
1387	تَقْدِيرٌ	taqdīr	die Einschätzung
1388	مُكَافَأَةٌ	mukāfaʾa	die Belohnung
1389	لُحُوقٌ	luḥūq	das Einholen
1390	لَفٌّ	laff	das Wickeln
1391	لَمَعَانٌ	lamaʿān	das Glänzen
1392	نَيْلٌ	nayl	das Erlangen
1393	نَدَمٌ	nadam	die Reue
1394	هَزْمٌ	hazm	die Niederlage/das Besiegen
1395	هَزٌّ	hazz	das Schütteln
1396	تَهْنِئَةٌ	tahniʾa	die Gratulation
1397	مُوَازَنَةٌ	muwāzana	die Abwägung
1398	مُوَافَقَةٌ	muwāfaqa	die Zustimmung
1399	تَوْفِيرٌ	tawfīr	die Ersparnis/das Einsparen
1532	إِحَاطَةٌ	ʾiḥāṭa	die Umgebung/das Umgeben
1533	اِطِّلَاعٌ	iṭṭilāʿ	die Einsicht
1534	مُحَارَبَةٌ	muḥāraba	die Bekämpfung
1535	إِدَارَةٌ	ʾidāra	die Verwaltung/die Leitung
1536	تَفْتِيشٌ	taftīš	die Durchsuchung
1537	تَفَقُّدٌ	tafaqqud	die Nachprüfung/die Inspektion
1538	مُرَاقَبَةٌ	murāqaba	die Überwachung
1539	قَضَاءٌ	qaḍāʾ	die Entscheidung
1540	غَلَبَةٌ	ġalaba	der Sieg/das Besiegen
1541	مُجَاوَزَةٌ	muǧāwaza	das Überschreiten/das Passieren
1542	مُرَافَقَةٌ	murāfaqa	die Begleitung
1543	تَشَاوُرٌ	tašāwur	die Beratung
1544	إِبْقَاءٌ	ʾibqāʾ	das Behalten
1545	تَوْكِيلٌ	tawkīl	die Beauftragung
1546	تَمَكُّنٌ	tamakkun	die Fähigkeit/die Macht
1547	إِسْقَاطٌ	ʾisqāṭ	das Fallenlassen
1548	إِثْبَاتٌ	ʾiṯbāt	der Beweis/das Feststellen
1549	إِجْرَاءٌ	ʾiǧrāʾ	die Durchführung
1550	اِسْتِقَامَةٌ	istiqāma	die Geradheit/die Aufrichtigkeit
1551	تَهَرُّبٌ	taharrub	die Flucht/das Ausweichen
1552	اِنْسِجَامٌ	insiǧām	die Harmonie/die Übereinstimmung
1553	اِعْتِمَالٌ	iʿtimāl	das Arbeiten
1554	خَشْيَةٌ	ḫašya	die Furcht
1555	دَوَامٌ	dawām	die Dauer
1556	إِحْسَانٌ	ʾiḥsān	das Gutmachen/die Wohltat
1557	اِنْتِهَاجٌ	intihāǧ	das Einschlagen (eines Weges)
1558	شُغْلٌ	šuġl	die Beschäftigung
1559	تَقْرِيرٌ	taqrīr	die Entscheidung/der Bericht
1560	اِرْتِقَاءٌ	irtiqāʾ	der Aufstieg
1561	تَدَفُّقٌ	tadaffuq	das Strömen
1562	اِنْسِيَابٌ	insiyāb	das Fließen/das Dahingleiten
1563	إِقْلَاعٌ	ʾiqlāʿ	der Abflug/der Start
1564	تَرْدِيدٌ	tardīd	das Wiederholen
1565	تَكْرَارٌ	takrār	die Wiederholung
1566	غَلَيَانٌ	ġalayān	das Sieden
1567	تَسَاؤُلٌ	tasāʾul	das Sich-Fragen
1568	اِسْتِدْلَالٌ	istidlāl	die Schlussfolgerung
1569	تَحْلِيلٌ	taḥlīl	die Analyse
1570	حَسْمٌ	ḥasm	die Entscheidung/das Beenden
1571	تَدْمِيرٌ	tadmīr	die Zerstörung
1572	اِسْتِيحَاءٌ	istīḥāʾ	die Entnahme/die Inspiration
1573	إِخْفَاقٌ	ʾiḫfāq	das Scheitern
1574	تَعَثُّرٌ	taʿaṯṯur	das Stolpern
1575	اِنْهِيَارٌ	inhayār	der Zusammenbruch
1576	اِضْطِرَابٌ	iḍṭirāb	die Unruhe/das Schwanken
1577	إِيصَاءٌ	ʾīṣāʾ	das Vermachen
1578	اِعْتِصَامٌ	iʿtiṣām	das Festhalten/das Sich-Klammern
1579	مُحَافَظَةٌ	muḥāfaẓa	die Erhaltung/die Wahrung
1580	هُدُوءٌ	hudūʾ	die Ruhe
1581	اِنْهِدَامٌ	inhidām	der Einsturz
1582	حَفْرٌ	ḥafr	das Graben
1583	اِنْحِدَارٌ	inḥidār	der Abstieg
1584	تَنَاثُرٌ	tanāṯur	die Zerstreuung
1585	تَفَرُّقٌ	tafarruq	das Auseinandergehen
1586	قَبْضٌ	qabḍ	die Ergreifung/der Griff
1587	اِسْتِنْشَاقٌ	istinšāq	das Einatmen
1588	عُطَاسٌ	ʿuṭās	das Niesen
1589	سُعَالٌ	suʿāl	der Husten
1590	جَرٌّ	ǧarr	das Ziehen
1591	اِسْتِيقَاظٌ	istīqāẓ	das Aufwachen
1592	إِغْلَاقٌ	ʾiġlāq	das Schließen
1593	تَجَمُّدٌ	taǧammud	das Gefrieren
1594	اِنْجِمَادٌ	inǧimād	das Erstarren
1595	تَبَخُّرٌ	tabaḫḫur	das Verdampfen
1596	اِرْتِجَاعٌ	irtiǧāʿ	die Rückkehr
1597	تَمْزِيقٌ	tamzīq	das Zerreißen
1598	تَخْرِيبٌ	taḫrīb	die Verwüstung
1599	شَوْلٌ	šawl	das Hochheben
1600	تَرَدٍّ	taraddin	der Absturz
1601	مُسَاوَمَةٌ	musāwama	das Feilschen
1602	تَتَابُعٌ	tatābuʿ	die Aufeinanderfolge
1603	شَقٌّ	šaqq	das Spalten
1604	تَعْزِيزٌ	taʿzīz	die Stärkung
1605	تَوْسِيعٌ	tawsīʿ	die Erweiterung
1606	تَخَلٍّ	taḫallin	das Verzichten
1607	اِسْتِهْدَافٌ	istihdāf	das Anstreben/die Zielsetzung
1608	تَوَاصُلٌ	tawāṣul	die Kontinuität/die Kommunikation
1609	مُوَاصَلَةٌ	muwāṣala	die Fortsetzung
1610	كَفٌّ	kaff	das Aufhören/das Abhalten
1611	اِسْتِغْنَاءٌ	istiġnāʾ	das Verzichten-können
1612	اِسْتِعْرَاضٌ	istiʿrāḍ	die Vorführung/die Begutachtung
1613	تَوْظِيفٌ	tawẓīf	die Anstellung
1614	تَحْضِيضٌ	taḥḍīḍ	der Antrieb
1615	حَثٌّ	ḥaṯṯ	der Antrieb
1616	تَشْيِيدٌ	tašyīd	die Errichtung
1617	اِلْتِمَاسٌ	iltimās	das Ersuchen/die Bitte
1618	اِسْتِئْذَانٌ	istiʾḏān	das Bitten um Erlaubnis
1619	إِجَازَةٌ	ʾiǧāza	die Genehmigung
1620	تَرْخِيصٌ	tarḫīṣ	die Lizenzierung
1621	إِبَاحَةٌ	ʾibāḥa	die Freigabe
1622	إِيجَابٌ	ʾīǧāb	das Erforderlichmachen
1623	لُزُومٌ	luzūm	die Notwendigkeit
1624	اِسْتِيجَابٌ	istīǧāb	das Verdienen/das Erfordern
1625	اِسْتِبْعَادٌ	istibʿād	die Ablehnung/das Fernhalten
1626	إِنْكَارٌ	ʾinkār	die Verleugnung
1627	جُحُودٌ	ǧuḥūd	die Verleugnung
1628	تَبْرِيرٌ	tabrīr	die Rechtfertigung
1629	عُذْرٌ	ʿuḏr	die Entschuldigung
1630	مُسَامَحَةٌ	musāmaḥa	die Verzeihung
1631	تَصَالُحٌ	taṣāluḥ	die Versöhnung
1632	اِسْتِيدَاعٌ	istīdāʿ	das Hinterlegen
1633	اِسْتِقْلَالٌ	istiqlāl	die Unabhängigkeit
1634	تَأْسِيسٌ	taʾsīs	die Gründung
1635	تَثْبِيتٌ	taṯbīt	die Befestigung
1636	إِقْرَارٌ	ʾiqrār	die Bestätigung/das Eingeständnis
1637	تَوْثِيقٌ	tawṯīq	die Beurkundung/die Dokumentation
1638	تَصْنِيفٌ	taṣnīf	die Klassifizierung
1639	اِبْتِكَارٌ	ibtikār	die Neuschöpfung/die Innovation
1640	تَطْوِيرٌ	taṭwīr	die Entwicklung
1641	ضَبْطٌ	ḍabṭ	die Kontrolle/die Regulierung
1642	تَصْحِيحٌ	taṣḥīḥ	die Korrektur
1643	اِنْحِرَافٌ	inḥirāf	die Abweichung
1644	رِوَايَةٌ	riwāya	die Überlieferung/die Erzählung
1645	مُحَاوَرَةٌ	muḥāwara	der Dialog
1646	مُفَاوَضَةٌ	mufāwaḍa	die Verhandlung
1647	مُبَادَلَةٌ	mubādala	der Tausch
1648	اِلْتِقَاءٌ	iltiqāʾ	die Begegnung
1649	تَعَارُفٌ	taʿāruf	das Sich-Kennenlernen
1650	تَعَرُّفٌ	taʿarruf	das Kennenlernen
1651	تَدْقِيقٌ	tadqīq	die Nachprüfung
1652	فَحْصٌ	faḥṣ	die Untersuchung
1653	اِدِّعَاءٌ	iddiʿāʾ	die Behauptung
1654	قَسَمٌ	qasam	der Schwur
1655	حَلْفٌ	ḥalf	das Schwören
1656	تَنْفِيذٌ	tanfīḏ	die Umsetzung/die Ausführung
1657	مُبَالَغَةٌ	mubālaġa	die Übertreibung
1658	تَحِيَّةٌ	taḥiyya	der Gruß
1659	تَرْحِيبٌ	tarḥīb	der Willkommensgruß/das Willkommenheißen
1660	ضَغْطٌ	ḍaġṭ	der Druck
1661	تَعَلُّقٌ	taʿalluq	das Hängenbleiben/die Anhänglichkeit
1662	خَبْءٌ	ḫabʾ	das Verstecken
1663	سَكْبٌ	sakb	das Gießen
1664	صَبٌّ	ṣabb	das Gießen
1665	مُشَاوَرَةٌ	mušāwara	die Beratung
1666	اِبْتِلَاعٌ	ibtilāʿ	das Schlucken
1667	إِحْصَاءٌ	ʾiḥṣāʾ	das Zählen/die Erfassung
1668	تَجْهِيزٌ	taǧhīz	die Ausrüstung/die Vorbereitung
1669	اِجْتِنَابٌ	iǧtināb	die Vermeidung
1670	تَوَقٍّ	tawaqqin	die Verhütung/die Vorsicht
1671	اِتِّقَاءٌ	ittiqāʾ	das Sich-Hüten
1672	تَنْبِيهٌ	tanbīh	die Warnung/die Ermahnung
1673	إِنْذَارٌ	ʾinḏār	die Warnung
1674	مُخَاطَرَةٌ	muḫāṭara	das Risiko/die Gefahr
1675	إِطْلَاقٌ	ʾiṭlāq	das Loslassen/das Abfeuern
1676	إِقْرَاضٌ	ʾiqrāḍ	das Leihen
1677	اِسْتِدَانَةٌ	istidāna	das Geld-Leihen
1678	تَوْفِيَةٌ	tawfiya	die Erfüllung
1679	إِيفَاءٌ	ʾīfāʾ	die Erfüllung/die Einlösung
1680	اِنْدِفَاعٌ	indifāʿ	das Losstürzen/der Schwung
1681	سَهَرٌ	sahar	das Nachtwachen
1682	اِنْغِلَاقٌ	inġilāq	das Sich-Schließen
1683	إِقْفَالٌ	ʾiqfāl	das Abschließen
1684	إِيَاءٌ	ʾīyāʾ	das Zufluchtsuchen
1685	مُضَاعَفَةٌ	muḍāʿafa	die Verdoppelung
1686	ضَعْفٌ	ḍaʿf	die Schwäche
1687	اِنْطِفَاءٌ	inṭifāʾ	das Erlöschen
1688	إِطْفَاءٌ	ʾiṭfāʾ	das Auslöschen
1689	إِشْعَالٌ	ʾišʿāl	das Anzünden
1690	اِشْتِعَالٌ	ištiʿāl	das Brennen/der Brand
1691	تَدَفُّؤٌ	tadaffuʾ	das Sich-Wärmen
1692	اِسْتِظْلَالٌ	istiẓlāl	das Schatten-Suchen
1693	زَلَلٌ	zalal	das Ausrutschen
1694	اِنْزِلَاقٌ	inzilāq	das Ausrutschen
1695	عَثْرَةٌ	ʿaṯra	das Stolpern
1696	اِتِّضَاحٌ	ittiḍāḥ	die Klarheit/das Klarwerden
1697	تَصْوِيرٌ	taṣwīr	das Abbilden/die Fotografie
1698	تَفَاؤُلٌ	tafāʾul	der Optimismus
1699	تَشَاؤُمٌ	tašāʾum	der Pessimismus
1700	اِشْتِيَاقٌ	ištiyāq	die Sehnsucht
