arabic,german,root,frequency_rank,transliteration,masdar,masdar_transliteration,masdar_german
حَاوَلَ,versuchen,ح-و-ل,1001,ḥāwala,مُحَاوَلَةٌ,muḥāwala,das Versuchen
عَرَضَ,anbieten / zeigen,ع-ر-ض,1002,ʿaraḍa,عَرْضٌ,ʿarḍ,das Anbieten/die Vorstellung
عَزَمَ,beschließen / beabsichtigen,ع-ز-م,1003,ʿazama,عَزْمٌ,ʿazm,der Entschluss/das Beschließen
رَغِبَ,wünschen / begehren,ر-غ-ب,1004,raġiba,رَغْبَةٌ,raġba,der Wunsch/das Begehren
اِنْفَجَرَ,explodieren,ف-ج-ر,1005,infaǧara,اِنْفِجَارٌ,infiǧār,die Explosion
غَرِقَ,ertrinken / untergehen,غ-ر-ق,1006,ġariqa,غَرَقٌ,ġaraq,das Ertrinken
أَدَّى,(aus-)führen / leisten,أ-د-ي,1007,ʾaddā,أَدَاءٌ,ʾadāʾ,die Ausführung/die Leistung
أَعَدَّ,vorbereiten,ع-د-د,1008,ʾaʿadda,إِعْدَادٌ,iʿdād,die Vorbereitung
سَمَحَ,erlauben,س-م-ح,1009,samaḥa,سَمَاحٌ,samāḥ,die Erlaubnis
اِخْتَلَفَ,sich unterscheiden,خ-ل-ف,1010,iḫtalafa,اِخْتِلَافٌ,iḫtilāf,der Unterschied
صَرَفَ,ausgeben (Geld),ص-ر-ف,1011,ṣarafa,صَرْفٌ,ṣarf,das Ausgeben (von Geld)
شَاهَدَ,zuschauen / ansehen,ش-ه-د,1012,šāhada,مُشَاهَدَةٌ,mušāhada,das Zuschauen/das Ansehen
اِعْتَرَفَ,gestehen / zugeben,ع-ر-ف,1013,iʿtarafa,اِعْتِرَافٌ,iʿtirāf,das Geständnis
اِبْتَدَأَ,beginnen,ب-د-أ,1014,ibtadaʾa,اِبْتِدَاءٌ,ibtidāʾ,der Anfang/das Beginnen
أَعْلَنَ,ankündigen,ع-ل-ن,1015,ʾaʿlana,إِعْلَانٌ,iʿlān,die Ankündigung
اِقْتَرَحَ,vorschlagen,ق-ر-ح,1016,iqtaraḥa,اِقْتِرَاحٌ,iqtirāḥ,der Vorschlag
شَارَكَ,teilnehmen,ش-ر-ك,1017,šāraka,مُشَارَكَةٌ,mušāraka,die Teilnahme
أَضَافَ,hinzufügen,ض-ي-ف,1018,ʾaḍāfa,إِضَافَةٌ,iḍāfa,das Hinzufügen
اِسْتَفَادَ,profitieren / Nutzen ziehen,ف-و-د,1019,istafāda,اِسْتِفَادَةٌ,istifāda,der Nutzen/das Profitieren
هَبَطَ,hinabsteigen,ه-ب-ط,1020,habaṭa,هُبُوطٌ,hubūṭ,das Hinabsteigen
يَبِسَ,trocknen / austrocknen,ي-ب-س,1021,yabisa,يُبْسٌ,yubs,das Trocknen/die Trockenheit
