rank	masdar	masdar_transliteration	masdar_german
1001	مُحَاوَلَةٌ	muḥāwala	das Versuchen
1002	عَرْضٌ	ʿarḍ	das Anbieten/die Vorstellung
1003	عَزْمٌ	ʿazm	der Entschluss/das Beschließen
1004	رَغْبَةٌ	raġba	der Wunsch/das Begehren
1005	اِنْفِجَارٌ	infiǧār	die Explosion
1006	غَرَقٌ	ġaraq	das Ertrinken
1007	أَدَاءٌ	ʾadāʾ	die Ausführung/die Leistung
1008	إِعْدَادٌ	iʿdād	die Vorbereitung
1009	سَمَاحٌ	samāḥ	die Erlaubnis
1010	اِخْتِلَافٌ	iḫtilāf	der Unterschied
1011	صَرْفٌ	ṣarf	das Ausgeben (von Geld)
1012	مُشَاهَدَةٌ	mušāhada	das Zuschauen/das Ansehen
1013	اِعْتِرَافٌ	iʿtirāf	das Geständnis
1014	اِبْتِدَاءٌ	ibtidāʾ	der Anfang/das Beginnen
1015	إِعْلَانٌ	iʿlān	die Ankündigung
1016	اِقْتِرَاحٌ	iqtirāḥ	der Vorschlag
1017	مُشَارَكَةٌ	mušāraka	die Teilnahme
1018	إِضَافَةٌ	iḍāfa	das Hinzufügen
1019	اِسْتِفَادَةٌ	istifāda	der Nutzen/das Profitieren
1020	هُبُوطٌ	hubūṭ	das Hinabsteigen
1021	يُبْسٌ	yubs	das Trocknen/die Trockenheit
1022	اِمْتِلَاءٌ	imtilāʾ	das Sich-Füllen
1023	اِسْتِحْقَاقٌ	istiḥqāq	das Verdienen/Würdigsein
1024	اِنْقِطَاعٌ	inqiṭāʿ	das Abreißen/das Ende
1025	تَغَيُّرٌ	taġayyur	die Veränderung
1026	رَفْضٌ	rafḍ	die Ablehnung
1027	اِنْكِسَارٌ	inkisār	das Zerbrechen
1028	اِعْتِنَاءٌ	iʿtināʾ	die Fürsorge/das Sich-Kümmern
1029	تَهْدِيدٌ	tahdīd	die Drohung
1030	إِنْجَازٌ	inǧāz	die Erledigung/das Vollbringen
1031	اِسْتِكْمَالٌ	istikmāl	die Ergänzung/Vervollständigung
1032	تَأْثِيرٌ	taʾṯīr	der Einfluss/die Beeinflussung
1033	عِلَاجٌ	ʿilāǧ	die Behandlung
1034	اِمْتِحَانٌ	imtiḥān	die Prüfung
1035	إِيضَاحٌ	īḍāḥ	die Klarstellung/die Erklärung
1151	اِسْتِفْهَامٌ	istifhām	die Erkundigung/die Nachfrage
1152	اِسْتِدْعَاءٌ	istidʿāʾ	die Einberufung/das Herbeirufen
1153	اِبْتِعَادٌ	ibtiʿād	die Entfernung
1154	اِقْتِصَادٌ	iqtiṣād	die Sparsamkeit/das Wirtschaften
1155	اِنْعِقَادٌ	inʿiqād	das Stattfinden
1156	اِشْتِهَارٌ	ištihār	das Bekanntwerden
1157	اِمْتِنَاعٌ	imtināʿ	die Weigerung
1158	اِحْتِمَالٌ	iḥtimāl	das Aushalten/die Möglichkeit
1159	اِسْتِمْتَاعٌ	istimtāʿ	der Genuss
1160	تَعَلُّقٌ	taʿalluq	das Anhängen/die Verbundenheit
1161	اِنْتِصَارٌ	intiṣār	der Sieg
1162	اِسْتِيعَابٌ	istīʿāb	das Umfassen/die Aufnahme
1163	اِسْتِعَانَةٌ	istiʿāna	die Bitte um Hilfe
1164	اِسْتِيلَاءٌ	istīlāʾ	die Bemächtigung
1165	اِنْتِقَامٌ	intiqām	die Rache
1166	اِنْحِنَاءٌ	inḥināʾ	die Beugung/das Sich-Beugen
1167	اِطْمِئْنَانٌ	iṭmiʾnān	die Ruhe/die Beruhigung
1168	اِعْتِيَادٌ	iʿtiyād	die Gewöhnung
1169	تَخَيُّلٌ	taḫayyul	die Vorstellung/die Einbildung
1170	تَفَادٍ	tafādin	die Vermeidung/das Ausweichen
1171	تَجَمُّعٌ	taǧammuʿ	die Versammlung
1172	تَوَزُّعٌ	tawazzuʿ	die Verteilung
1173	اِمْتِلَاكٌ	imtilāk	der Besitz
1174	اِعْتِقَادٌ	iʿtiqād	die Überzeugung
1175	اِنْضِمَامٌ	inḍimām	der Anschluss
1176	اِحْتِفَاظٌ	iḥtifāẓ	die Aufbewahrung
1177	اِنْزِعَاجٌ	inziʿāǧ	die Verärgerung
1178	اِسْتِرْجَاعٌ	istirǧāʿ	die Rückerlangung/das Zurückerhalten
1179	اِعْتِزَالٌ	iʿtizāl	der Rückzug
1180	اِسْتِهَانَةٌ	istihāna	die Geringschätzung
1181	اِحْتِيَاطٌ	iḥtiyāṭ	die Vorsicht
1182	اِمْتِدَادٌ	imitdād	die Ausdehnung
1183	اِنْقِلَابٌ	inqilāb	der Umsturz/das Umkippen
1184	اِحْتِرَاقٌ	iḥtirāq	das Verbrennen
1185	اِغْتِسَالٌ	iġtisāl	das Sich-Waschen
1186	تَعَاوُنٌ	taʿāwun	die Zusammenarbeit
1187	تَرَاجُعٌ	tarāǧuʿ	der Rücktritt/das Zurückgehen
1188	تَصَرُّفٌ	taṣarruf	das Handeln
1189	اِنْطِبَاعٌ	inṭibāʿ	die Einprägung
1190	اِسْتِقْصَاءٌ	istiqṣāʾ	die Untersuchung
1191	اِحْتِكَامٌ	iḥtikām	die Schlichtung
1192	اِنْضِمَامٌ	inḍimām	der Anschluss
1193	اِسْتِغْلَالٌ	istiġlāl	die Ausnutzung/der Ertrag
1194	اِنْبِهَارٌ	inbihār	die Bewunderung
1195	اِعْتِزَازٌ	iʿtizāz	der Stolz
1196	اِسْتِرْخَاءٌ	istirḫāʾ	die Erschlaffung
1197	اِنْفِرَادٌ	infirād	das Alleinsein
1198	اِسْتِيقَاظٌ	istīqāẓ	das Erwachen
1199	اِعْتِزَامٌ	iʿtizām	die Absicht
1200	اِسْتِحْسَانٌ	istiḥsān	das Gutheißen
1201	اِنْفِتَاحٌ	infitāḥ	das Sich-Öffnen
1202	اِعْتِدَادٌ	iʿtidād	die Zählung/die Beachtung
1203	اِسْتِغْرَابٌ	istiġrāb	die Verwunderung
1204	اِعْتِقَالٌ	iʿtiqāl	die Verhaftung
1205	اِنْصِرَافٌ	inṣirāf	das Sich-Abwenden
1206	اِعْتِرَاضٌ	iʿtirāḍ	der Einwand
1207	اِسْتِغْرَاقٌ	istiġrāq	die Vertiefung
